"time","dynamicHX.Tc[1]","dynamicHX.Tc[2]","dynamicHX.Tc[3]","dynamicHX.Tc[4]","dynamicHX.Tc[5]","dynamicHX.Tc[6]","dynamicHX.Tc[7]","dynamicHX.Tc[8]","dynamicHX.Tc[9]","dynamicHX.Tc[10]","dynamicHX.Tc[11]","dynamicHX.Tc[12]","dynamicHX.Tc[13]","dynamicHX.Tc[14]","dynamicHX.Tc[15]","dynamicHX.Tc[16]","dynamicHX.Tc[17]","dynamicHX.Tc[18]","dynamicHX.Tc[19]","dynamicHX.Tc[20]","dynamicHX.Tc[21]","dynamicHX.Tc[22]","dynamicHX.Tc[23]","dynamicHX.Tc[24]","dynamicHX.Tc[25]","dynamicHX.Tc[26]","dynamicHX.Tc[27]","dynamicHX.Tc[28]","dynamicHX.Tc[29]","dynamicHX.Tc[30]","dynamicHX.Th[1]","dynamicHX.Th[2]","dynamicHX.Th[3]","dynamicHX.Th[4]","dynamicHX.Th[5]","dynamicHX.Th[6]","dynamicHX.Th[7]","dynamicHX.Th[8]","dynamicHX.Th[9]","dynamicHX.Th[10]","dynamicHX.Th[11]","dynamicHX.Th[12]","dynamicHX.Th[13]","dynamicHX.Th[14]","dynamicHX.Th[15]","dynamicHX.Th[16]","dynamicHX.Th[17]","dynamicHX.Th[18]","dynamicHX.Th[19]","dynamicHX.Th[20]","dynamicHX.Th[21]","dynamicHX.Th[22]","dynamicHX.Th[23]","dynamicHX.Th[24]","dynamicHX.Th[25]","dynamicHX.Th[26]","dynamicHX.Th[27]","dynamicHX.Th[28]","dynamicHX.Th[29]","dynamicHX.Th[30]","dynamicHX.Tw[1]","dynamicHX.Tw[2]","dynamicHX.Tw[3]","dynamicHX.Tw[4]","dynamicHX.Tw[5]","dynamicHX.Tw[6]","dynamicHX.Tw[7]","dynamicHX.Tw[8]","dynamicHX.Tw[9]","dynamicHX.Tw[10]","dynamicHX.Tw[11]","dynamicHX.Tw[12]","dynamicHX.Tw[13]","dynamicHX.Tw[14]","dynamicHX.Tw[15]","dynamicHX.Tw[16]","dynamicHX.Tw[17]","dynamicHX.Tw[18]","dynamicHX.Tw[19]","dynamicHX.Tw[20]","dynamicHX.Tw[21]","dynamicHX.Tw[22]","dynamicHX.Tw[23]","dynamicHX.Tw[24]","dynamicHX.Tw[25]","dynamicHX.Tw[26]","dynamicHX.Tw[27]","dynamicHX.Tw[28]","dynamicHX.Tw[29]","dynamicHX.Tw[30]"
4,308.950678321808,363.3133280010457,371.6203159486358,372.8957031633655,373.0917576403827,373.1219015491604,373.1259710257206,373.1259710460938,373.1259710664671,373.1259710868403,373.1259711072136,373.1259711275869,373.1259711479601,373.1259711683334,373.1259711887066,373.1259712090799,373.1259712294531,373.1259712498264,373.1259712701997,373.1259712905729,373.1259713109462,373.1259713313194,373.1259713516927,373.125971372066,373.1259713924392,373.1259714319355,373.1259719119672,373.1259777486296,373.1260490485982,373.1269447054505,373.1262817729227,373.1272107041753,373.1273527585054,373.1273745726141,373.1273779260194,373.1273784416172,373.1273785208943,373.1273785412675,373.1273785616408,373.1273785820141,373.1273786023874,373.1273786227606,373.1273786431339,373.1273786635071,373.1273786838804,373.1273787042537,373.1273787246269,373.1273787450002,373.1273787653734,373.1273787857467,373.12737880612,373.1273788264932,373.1273788468665,373.1273788672397,373.127378887613,373.1287000503027,373.1591351037316,373.5292060060151,378.0518371517217,435.0037723107732,341.0384800473653,368.2202693526104,372.3738343535706,373.0115388679898,373.1095677832011,373.1246399953888,373.1266747733075,373.1266747936807,373.126674814054,373.1266748344272,373.1266748548005,373.1266748751737,373.126674895547,373.1266749159202,373.1266749362935,373.1266749566668,373.12667497704,373.1266749974133,373.1266750177865,373.1266750381598,373.1266750585331,373.1266750789063,373.1266750992796,373.1266751196528,373.1266751400261,373.1273357411191,373.1425535078494,373.3275918773224,375.58894310016,404.0653585081118
4.4,308.950678321808,363.3133280010456,371.6203159486358,372.8957031633655,373.0917576403827,373.1219015491604,373.1259710257206,373.1259710460938,373.1259710664671,373.1259710868403,373.1259711072136,373.1259711275869,373.1259711479601,373.1259711683334,373.1259711887066,373.1259712090799,373.1259712294531,373.1259712498264,373.1259712701997,373.1259712905729,373.1259713109462,373.1259713313194,373.1259713516927,373.125971372066,373.1259713924392,373.1259714319355,373.1259719119672,373.1259777486296,373.1260490485982,373.1269447054505,373.1262817729227,373.1272107041753,373.1273527585054,373.1273745726141,373.1273779260194,373.1273784416172,373.1273785208943,373.1273785412675,373.1273785616408,373.1273785820141,373.1273786023874,373.1273786227606,373.1273786431339,373.1273786635071,373.1273786838804,373.1273787042537,373.1273787246269,373.1273787450002,373.1273787653734,373.1273787857467,373.12737880612,373.1273788264932,373.1273788468665,373.1273788672397,373.127378887613,373.1287000503027,373.1591351037316,373.5292060060151,378.0518371517217,435.0037723107732,341.0384800473653,368.2202693526104,372.3738343535706,373.0115388679898,373.1095677832011,373.1246399953888,373.1266747733075,373.1266747936807,373.126674814054,373.1266748344272,373.1266748548005,373.1266748751737,373.126674895547,373.1266749159202,373.1266749362935,373.1266749566668,373.12667497704,373.1266749974133,373.1266750177865,373.1266750381598,373.1266750585331,373.1266750789063,373.1266750992796,373.1266751196528,373.1266751400261,373.1273357411191,373.1425535078494,373.3275918773224,375.58894310016,404.0653585081118
4.8,308.950678321808,363.3133280010456,371.6203159486358,372.8957031633655,373.0917576403827,373.1219015491604,373.1259710257206,373.1259710460938,373.1259710664671,373.1259710868403,373.1259711072136,373.1259711275869,373.1259711479601,373.1259711683334,373.1259711887066,373.1259712090799,373.1259712294531,373.1259712498264,373.1259712701997,373.1259712905729,373.1259713109462,373.1259713313194,373.1259713516927,373.125971372066,373.1259713924392,373.1259714319355,373.1259719119672,373.1259777486296,373.1260490485982,373.1269447054505,373.1262817729227,373.1272107041753,373.1273527585054,373.1273745726141,373.1273779260194,373.1273784416172,373.1273785208943,373.1273785412675,373.1273785616408,373.1273785820141,373.1273786023874,373.1273786227606,373.1273786431339,373.1273786635071,373.1273786838804,373.1273787042537,373.1273787246269,373.1273787450002,373.1273787653734,373.1273787857467,373.12737880612,373.1273788264932,373.1273788468665,373.1273788672397,373.127378887613,373.1287000503027,373.1591351037316,373.5292060060151,378.0518371517217,435.0037723107732,341.0384800473653,368.2202693526104,372.3738343535706,373.0115388679898,373.1095677832011,373.1246399953888,373.1266747733075,373.1266747936807,373.126674814054,373.1266748344272,373.1266748548005,373.1266748751737,373.126674895547,373.1266749159202,373.1266749362935,373.1266749566668,373.12667497704,373.1266749974133,373.1266750177865,373.1266750381598,373.1266750585331,373.1266750789063,373.1266750992796,373.1266751196528,373.1266751400261,373.1273357411191,373.1425535078494,373.3275918773224,375.58894310016,404.0653585081118
5.2,308.950678321808,363.3133280010456,371.6203159486358,372.8957031633655,373.0917576403827,373.1219015491604,373.1259710257206,373.1259710460938,373.1259710664671,373.1259710868403,373.1259711072136,373.1259711275869,373.1259711479601,373.1259711683334,373.1259711887066,373.1259712090799,373.1259712294531,373.1259712498264,373.1259712701997,373.1259712905729,373.1259713109462,373.1259713313194,373.1259713516927,373.125971372066,373.1259713924392,373.1259714319355,373.1259719119672,373.1259777486296,373.1260490485982,373.1269447054505,373.1262817729227,373.1272107041753,373.1273527585054,373.1273745726141,373.1273779260194,373.1273784416172,373.1273785208943,373.1273785412675,373.1273785616408,373.1273785820141,373.1273786023874,373.1273786227606,373.1273786431339,373.1273786635071,373.1273786838804,373.1273787042537,373.1273787246269,373.1273787450002,373.1273787653734,373.1273787857467,373.12737880612,373.1273788264932,373.1273788468665,373.1273788672397,373.127378887613,373.1287000503027,373.1591351037316,373.5292060060151,378.0518371517218,435.0037723107732,341.0384800473653,368.2202693526104,372.3738343535706,373.0115388679898,373.1095677832011,373.1246399953888,373.1266747733075,373.1266747936807,373.126674814054,373.1266748344272,373.1266748548005,373.1266748751737,373.126674895547,373.1266749159202,373.1266749362935,373.1266749566668,373.12667497704,373.1266749974133,373.1266750177865,373.1266750381598,373.1266750585331,373.1266750789063,373.1266750992796,373.1266751196528,373.1266751400261,373.1273357411191,373.1425535078494,373.3275918773224,375.58894310016,404.0653585081118
5.6,308.950678321808,363.3133280010456,371.6203159486358,372.8957031633655,373.0917576403829,373.1219015491604,373.1259710257206,373.1259710460938,373.1259710664671,373.1259710868403,373.1259711072136,373.1259711275869,373.1259711479601,373.1259711683334,373.1259711887066,373.1259712090799,373.1259712294531,373.1259712498264,373.1259712701997,373.1259712905729,373.1259713109462,373.1259713313194,373.1259713516927,373.125971372066,373.1259713924392,373.1259714319355,373.1259719119672,373.1259777486296,373.1260490485982,373.1269447054505,373.1262817729227,373.1272107041753,373.1273527585054,373.1273745726141,373.1273779260194,373.1273784416172,373.1273785208943,373.1273785412675,373.1273785616408,373.1273785820141,373.1273786023874,373.1273786227606,373.1273786431339,373.1273786635071,373.1273786838804,373.1273787042537,373.1273787246269,373.1273787450002,373.1273787653734,373.1273787857467,373.12737880612,373.1273788264932,373.1273788468665,373.1273788672397,373.127378887613,373.1287000503027,373.1591351037316,373.5292060060151,378.0518371517218,435.0037723107732,341.0384800473653,368.2202693526104,372.3738343535706,373.0115388679898,373.1095677832011,373.1246399953888,373.1266747733075,373.1266747936807,373.126674814054,373.1266748344272,373.1266748548005,373.1266748751737,373.126674895547,373.1266749159202,373.1266749362935,373.1266749566668,373.12667497704,373.1266749974133,373.1266750177865,373.1266750381598,373.1266750585331,373.1266750789063,373.1266750992796,373.1266751196528,373.1266751400261,373.1273357411191,373.1425535078494,373.3275918773224,375.58894310016,404.0653585081118
6,308.950678321808,363.3133280010456,371.6203159486358,372.8957031633655,373.0917576403829,373.1219015491604,373.1259710257206,373.1259710460938,373.1259710664671,373.1259710868403,373.1259711072136,373.1259711275869,373.1259711479601,373.1259711683334,373.1259711887066,373.1259712090799,373.1259712294531,373.1259712498264,373.1259712701997,373.1259712905729,373.1259713109462,373.1259713313194,373.1259713516927,373.125971372066,373.1259713924392,373.1259714319355,373.1259719119672,373.1259777486296,373.1260490485982,373.1269447054505,373.1262817729227,373.1272107041753,373.1273527585054,373.1273745726141,373.1273779260194,373.1273784416172,373.1273785208943,373.1273785412675,373.1273785616408,373.1273785820141,373.1273786023874,373.1273786227606,373.1273786431339,373.1273786635071,373.1273786838804,373.1273787042537,373.1273787246269,373.1273787450002,373.1273787653734,373.1273787857467,373.12737880612,373.1273788264932,373.1273788468665,373.1273788672397,373.127378887613,373.1287000503027,373.1591351037316,373.5292060060151,378.0518371517218,435.0037723107732,341.0384800473653,368.2202693526104,372.3738343535706,373.0115388679898,373.1095677832011,373.1246399953888,373.1266747733075,373.1266747936807,373.126674814054,373.1266748344272,373.1266748548005,373.1266748751737,373.126674895547,373.1266749159202,373.1266749362935,373.1266749566668,373.12667497704,373.1266749974133,373.1266750177865,373.1266750381598,373.1266750585331,373.1266750789063,373.1266750992796,373.1266751196528,373.1266751400261,373.1273357411191,373.1425535078494,373.3275918773224,375.58894310016,404.0653585081118
6.4,308.950678321808,363.3133280010456,371.6203159486358,372.8957031633655,373.0917576403829,373.1219015491604,373.1259710257206,373.1259710460938,373.1259710664671,373.1259710868403,373.1259711072136,373.1259711275869,373.1259711479601,373.1259711683334,373.1259711887066,373.1259712090799,373.1259712294531,373.1259712498264,373.1259712701997,373.1259712905729,373.1259713109462,373.1259713313194,373.1259713516927,373.125971372066,373.1259713924392,373.1259714319355,373.1259719119672,373.1259777486296,373.1260490485982,373.1269447054505,373.1262817729227,373.1272107041753,373.1273527585054,373.1273745726141,373.1273779260194,373.1273784416172,373.1273785208943,373.1273785412675,373.1273785616408,373.1273785820141,373.1273786023874,373.1273786227606,373.1273786431339,373.1273786635071,373.1273786838804,373.1273787042537,373.1273787246269,373.1273787450002,373.1273787653734,373.1273787857467,373.12737880612,373.1273788264932,373.1273788468665,373.1273788672397,373.127378887613,373.1287000503027,373.1591351037316,373.5292060060151,378.0518371517218,435.0037723107732,341.0384800473653,368.2202693526104,372.3738343535706,373.0115388679898,373.1095677832011,373.1246399953888,373.1266747733075,373.1266747936807,373.126674814054,373.1266748344272,373.1266748548005,373.1266748751737,373.126674895547,373.1266749159202,373.1266749362935,373.1266749566668,373.12667497704,373.1266749974133,373.1266750177865,373.1266750381598,373.1266750585331,373.1266750789063,373.1266750992796,373.1266751196528,373.1266751400261,373.1273357411191,373.1425535078494,373.3275918773224,375.58894310016,404.0653585081118
6.8,308.950678321808,363.3133280010456,371.6203159486358,372.8957031633655,373.0917576403829,373.1219015491604,373.1259710257206,373.1259710460938,373.1259710664671,373.1259710868403,373.1259711072136,373.1259711275869,373.1259711479601,373.1259711683334,373.1259711887066,373.1259712090799,373.1259712294531,373.1259712498264,373.1259712701997,373.1259712905729,373.1259713109462,373.1259713313194,373.1259713516927,373.125971372066,373.1259713924392,373.1259714319355,373.1259719119672,373.1259777486296,373.1260490485982,373.1269447054505,373.1262817729227,373.1272107041753,373.1273527585054,373.1273745726141,373.1273779260194,373.1273784416172,373.1273785208943,373.1273785412675,373.1273785616408,373.1273785820141,373.1273786023874,373.1273786227606,373.1273786431339,373.1273786635071,373.1273786838804,373.1273787042537,373.1273787246269,373.1273787450002,373.1273787653734,373.1273787857467,373.12737880612,373.1273788264932,373.1273788468665,373.1273788672397,373.127378887613,373.1287000503027,373.1591351037316,373.5292060060151,378.0518371517218,435.0037723107732,341.0384800473653,368.2202693526104,372.3738343535706,373.0115388679898,373.1095677832011,373.1246399953888,373.1266747733075,373.1266747936807,373.126674814054,373.1266748344272,373.1266748548005,373.1266748751737,373.126674895547,373.1266749159202,373.1266749362935,373.1266749566668,373.12667497704,373.1266749974133,373.1266750177865,373.1266750381598,373.1266750585331,373.1266750789063,373.1266750992796,373.1266751196528,373.1266751400261,373.1273357411191,373.1425535078494,373.3275918773224,375.58894310016,404.0653585081118
7.2,308.950678321808,363.3133280010456,371.6203159486358,372.8957031633655,373.0917576403829,373.1219015491604,373.1259710257206,373.1259710460938,373.1259710664671,373.1259710868403,373.1259711072136,373.1259711275869,373.1259711479601,373.1259711683334,373.1259711887066,373.1259712090799,373.1259712294531,373.1259712498264,373.1259712701997,373.1259712905729,373.1259713109462,373.1259713313194,373.1259713516927,373.125971372066,373.1259713924392,373.1259714319355,373.1259719119672,373.1259777486296,373.1260490485982,373.1269447054505,373.1262817729227,373.1272107041753,373.1273527585054,373.1273745726141,373.1273779260194,373.1273784416172,373.1273785208943,373.1273785412675,373.1273785616408,373.1273785820141,373.1273786023874,373.1273786227606,373.1273786431339,373.1273786635071,373.1273786838804,373.1273787042537,373.1273787246269,373.1273787450002,373.1273787653734,373.1273787857467,373.12737880612,373.1273788264932,373.1273788468665,373.1273788672397,373.127378887613,373.1287000503027,373.1591351037316,373.5292060060151,378.0518371517218,435.0037723107732,341.0384800473653,368.2202693526104,372.3738343535706,373.0115388679898,373.1095677832011,373.1246399953888,373.1266747733075,373.1266747936807,373.126674814054,373.1266748344272,373.1266748548005,373.1266748751737,373.126674895547,373.1266749159202,373.1266749362935,373.1266749566668,373.12667497704,373.1266749974133,373.1266750177865,373.1266750381598,373.1266750585331,373.1266750789063,373.1266750992796,373.1266751196528,373.1266751400261,373.1273357411191,373.1425535078494,373.3275918773224,375.58894310016,404.0653585081118
7.6,308.950678321808,363.3133280010456,371.6203159486358,372.8957031633655,373.0917576403829,373.1219015491604,373.1259710257206,373.1259710460938,373.1259710664671,373.1259710868403,373.1259711072136,373.1259711275869,373.1259711479601,373.1259711683334,373.1259711887066,373.1259712090799,373.1259712294531,373.1259712498264,373.1259712701997,373.1259712905729,373.1259713109462,373.1259713313194,373.1259713516927,373.125971372066,373.1259713924392,373.1259714319355,373.1259719119672,373.1259777486296,373.1260490485982,373.1269447054505,373.1262817729227,373.1272107041753,373.1273527585054,373.1273745726141,373.1273779260194,373.1273784416172,373.1273785208943,373.1273785412675,373.1273785616408,373.1273785820141,373.1273786023874,373.1273786227606,373.1273786431339,373.1273786635071,373.1273786838804,373.1273787042537,373.1273787246269,373.1273787450002,373.1273787653734,373.1273787857467,373.12737880612,373.1273788264932,373.1273788468665,373.1273788672397,373.127378887613,373.1287000503027,373.1591351037316,373.5292060060151,378.0518371517218,435.0037723107732,341.0384800473653,368.2202693526104,372.3738343535706,373.0115388679898,373.1095677832011,373.1246399953888,373.1266747733075,373.1266747936807,373.126674814054,373.1266748344272,373.1266748548005,373.1266748751737,373.126674895547,373.1266749159202,373.1266749362935,373.1266749566668,373.12667497704,373.1266749974133,373.1266750177865,373.1266750381598,373.1266750585331,373.1266750789063,373.1266750992796,373.1266751196528,373.1266751400261,373.1273357411191,373.1425535078494,373.3275918773223,375.58894310016,404.0653585081118
8,308.950678321808,363.3133280010456,371.6203159486358,372.8957031633655,373.0917576403829,373.1219015491604,373.1259710257206,373.1259710460938,373.1259710664671,373.1259710868403,373.1259711072136,373.1259711275869,373.1259711479601,373.1259711683334,373.1259711887066,373.1259712090799,373.1259712294531,373.1259712498264,373.1259712701997,373.1259712905729,373.1259713109462,373.1259713313194,373.1259713516927,373.125971372066,373.1259713924392,373.1259714319355,373.1259719119672,373.1259777486296,373.1260490485982,373.1269447054505,373.1262817729227,373.1272107041753,373.1273527585054,373.1273745726141,373.1273779260194,373.1273784416172,373.1273785208943,373.1273785412675,373.1273785616408,373.1273785820141,373.1273786023874,373.1273786227606,373.1273786431339,373.1273786635071,373.1273786838804,373.1273787042537,373.1273787246269,373.1273787450002,373.1273787653734,373.1273787857467,373.12737880612,373.1273788264932,373.1273788468665,373.1273788672397,373.127378887613,373.1287000503027,373.1591351037316,373.5292060060151,378.0518371517218,435.0037723107732,341.0384800473653,368.2202693526104,372.3738343535706,373.0115388679898,373.1095677832011,373.1246399953888,373.1266747733075,373.1266747936807,373.126674814054,373.1266748344272,373.1266748548005,373.1266748751737,373.126674895547,373.1266749159202,373.1266749362935,373.1266749566668,373.12667497704,373.1266749974133,373.1266750177865,373.1266750381598,373.1266750585331,373.1266750789063,373.1266750992796,373.1266751196528,373.1266751400261,373.1273357411191,373.1425535078494,373.3275918773223,375.58894310016,404.0653585081118
8.4,308.950678321808,363.3133280010456,371.6203159486358,372.8957031633655,373.0917576403829,373.1219015491604,373.1259710257206,373.1259710460938,373.1259710664671,373.1259710868403,373.1259711072136,373.1259711275869,373.1259711479601,373.1259711683334,373.1259711887066,373.1259712090799,373.1259712294531,373.1259712498264,373.1259712701997,373.1259712905729,373.1259713109462,373.1259713313194,373.1259713516927,373.125971372066,373.1259713924392,373.1259714319355,373.1259719119672,373.1259777486296,373.1260490485982,373.1269447054505,373.1262817729227,373.1272107041753,373.1273527585054,373.1273745726141,373.1273779260194,373.1273784416172,373.1273785208943,373.1273785412675,373.1273785616408,373.1273785820141,373.1273786023874,373.1273786227606,373.1273786431339,373.1273786635071,373.1273786838804,373.1273787042537,373.1273787246269,373.1273787450002,373.1273787653734,373.1273787857467,373.12737880612,373.1273788264932,373.1273788468665,373.1273788672397,373.127378887613,373.1287000503027,373.1591351037316,373.5292060060151,378.0518371517218,435.0037723107732,341.0384800473653,368.2202693526104,372.3738343535706,373.0115388679898,373.1095677832011,373.1246399953888,373.1266747733074,373.1266747936806,373.1266748140539,373.1266748344272,373.1266748548005,373.1266748751738,373.126674895547,373.1266749159202,373.1266749362935,373.1266749566668,373.12667497704,373.1266749974133,373.1266750177866,373.1266750381598,373.1266750585331,373.1266750789063,373.1266750992796,373.1266751196529,373.1266751400261,373.1273357411191,373.1425535078494,373.3275918773223,375.58894310016,404.0653585081118
8.8,308.950678321808,363.3133280010457,371.6203159486358,372.8957031633655,373.0917576403829,373.1219015491604,373.1259710257206,373.1259710460938,373.1259710664671,373.1259710868403,373.1259711072136,373.1259711275869,373.1259711479601,373.1259711683334,373.1259711887066,373.1259712090799,373.1259712294531,373.1259712498264,373.1259712701997,373.1259712905729,373.1259713109462,373.1259713313194,373.1259713516927,373.125971372066,373.1259713924392,373.1259714319355,373.1259719119672,373.1259777486296,373.1260490485982,373.1269447054505,373.1262817729227,373.1272107041753,373.1273527585054,373.1273745726141,373.1273779260194,373.1273784416172,373.1273785208943,373.1273785412675,373.1273785616408,373.1273785820141,373.1273786023874,373.1273786227606,373.1273786431339,373.1273786635071,373.1273786838804,373.1273787042537,373.1273787246269,373.1273787450002,373.1273787653734,373.1273787857467,373.12737880612,373.1273788264932,373.1273788468665,373.1273788672397,373.127378887613,373.1287000503027,373.1591351037316,373.5292060060151,378.0518371517218,435.0037723107732,341.0384800473653,368.2202693526104,372.3738343535706,373.0115388679898,373.1095677832011,373.1246399953888,373.1266747733074,373.1266747936806,373.1266748140539,373.1266748344272,373.1266748548005,373.1266748751738,373.126674895547,373.1266749159202,373.1266749362935,373.1266749566668,373.12667497704,373.1266749974133,373.1266750177866,373.1266750381598,373.1266750585331,373.1266750789063,373.1266750992796,373.1266751196529,373.1266751400261,373.1273357411191,373.1425535078494,373.3275918773223,375.58894310016,404.0653585081119
9.2,308.950678321808,363.3133280010457,371.6203159486358,372.8957031633655,373.0917576403829,373.1219015491604,373.1259710257206,373.1259710460938,373.1259710664671,373.1259710868403,373.1259711072136,373.1259711275869,373.1259711479601,373.1259711683334,373.1259711887066,373.1259712090799,373.1259712294531,373.1259712498264,373.1259712701997,373.1259712905729,373.1259713109462,373.1259713313194,373.1259713516927,373.125971372066,373.1259713924392,373.1259714319355,373.1259719119672,373.1259777486296,373.1260490485982,373.1269447054505,373.1262817729227,373.1272107041753,373.1273527585054,373.1273745726141,373.1273779260194,373.1273784416172,373.1273785208943,373.1273785412675,373.1273785616408,373.1273785820141,373.1273786023874,373.1273786227606,373.1273786431339,373.1273786635071,373.1273786838804,373.1273787042537,373.1273787246269,373.1273787450002,373.1273787653734,373.1273787857467,373.12737880612,373.1273788264932,373.1273788468665,373.1273788672397,373.127378887613,373.1287000503027,373.1591351037316,373.5292060060151,378.0518371517218,435.0037723107732,341.0384800473653,368.2202693526104,372.3738343535706,373.0115388679898,373.1095677832011,373.1246399953888,373.1266747733074,373.1266747936806,373.1266748140539,373.1266748344272,373.1266748548005,373.1266748751738,373.126674895547,373.1266749159202,373.1266749362935,373.1266749566668,373.12667497704,373.1266749974133,373.1266750177866,373.1266750381598,373.1266750585331,373.1266750789063,373.1266750992796,373.1266751196529,373.1266751400261,373.1273357411191,373.1425535078494,373.3275918773223,375.58894310016,404.0653585081119
9.6,308.950678321808,363.3133280010457,371.6203159486358,372.8957031633655,373.0917576403829,373.1219015491604,373.1259710257206,373.1259710460938,373.1259710664671,373.1259710868403,373.1259711072136,373.1259711275869,373.1259711479601,373.1259711683334,373.1259711887066,373.1259712090799,373.1259712294531,373.1259712498264,373.1259712701997,373.1259712905729,373.1259713109462,373.1259713313194,373.1259713516927,373.125971372066,373.1259713924392,373.1259714319355,373.1259719119672,373.1259777486296,373.1260490485982,373.1269447054505,373.1262817729227,373.1272107041753,373.1273527585054,373.1273745726141,373.1273779260194,373.1273784416172,373.1273785208943,373.1273785412675,373.1273785616408,373.1273785820141,373.1273786023874,373.1273786227606,373.1273786431339,373.1273786635071,373.1273786838804,373.1273787042537,373.1273787246269,373.1273787450002,373.1273787653734,373.1273787857467,373.12737880612,373.1273788264932,373.1273788468665,373.1273788672397,373.127378887613,373.1287000503027,373.1591351037316,373.5292060060151,378.0518371517218,435.0037723107732,341.0384800473653,368.2202693526104,372.3738343535706,373.0115388679898,373.1095677832011,373.1246399953888,373.1266747733074,373.1266747936806,373.1266748140539,373.1266748344272,373.1266748548005,373.1266748751738,373.126674895547,373.1266749159202,373.1266749362935,373.1266749566668,373.12667497704,373.1266749974133,373.1266750177866,373.1266750381598,373.1266750585331,373.1266750789063,373.1266750992796,373.1266751196529,373.1266751400261,373.1273357411191,373.1425535078494,373.3275918773223,375.58894310016,404.0653585081119
10,308.950678321808,363.3133280010457,371.6203159486358,372.8957031633655,373.0917576403829,373.1219015491604,373.1259710257206,373.1259710460938,373.1259710664671,373.1259710868403,373.1259711072136,373.1259711275869,373.1259711479601,373.1259711683334,373.1259711887066,373.1259712090799,373.1259712294531,373.1259712498264,373.1259712701997,373.1259712905729,373.1259713109462,373.1259713313194,373.1259713516927,373.125971372066,373.1259713924392,373.1259714319355,373.1259719119672,373.1259777486296,373.1260490485982,373.1269447054505,373.1262817729227,373.1272107041753,373.1273527585054,373.1273745726141,373.1273779260194,373.1273784416172,373.1273785208943,373.1273785412675,373.1273785616408,373.1273785820141,373.1273786023874,373.1273786227606,373.1273786431339,373.1273786635071,373.1273786838804,373.1273787042537,373.1273787246269,373.1273787450002,373.1273787653734,373.1273787857467,373.12737880612,373.1273788264932,373.1273788468665,373.1273788672397,373.127378887613,373.1287000503027,373.1591351037316,373.5292060060151,378.0518371517218,435.0037723107732,341.0384800473653,368.2202693526104,372.3738343535706,373.0115388679898,373.1095677832011,373.1246399953888,373.1266747733074,373.1266747936806,373.1266748140539,373.1266748344272,373.1266748548005,373.1266748751738,373.126674895547,373.1266749159203,373.1266749362935,373.1266749566668,373.12667497704,373.1266749974133,373.1266750177866,373.1266750381598,373.1266750585331,373.1266750789063,373.1266750992796,373.1266751196529,373.1266751400261,373.1273357411191,373.1425535078494,373.3275918773223,375.58894310016,404.0653585081119
10,308.950678321808,363.3133280010457,371.6203159486358,372.8957031633655,373.0917576403829,373.1219015491604,373.1259710257206,373.1259710460938,373.1259710664671,373.1259710868403,373.1259711072136,373.1259711275869,373.1259711479601,373.1259711683334,373.1259711887066,373.1259712090799,373.1259712294531,373.1259712498264,373.1259712701997,373.1259712905729,373.1259713109462,373.1259713313194,373.1259713516927,373.125971372066,373.1259713924392,373.1259714319355,373.1259719119672,373.1259777486296,373.1260490485982,373.1269447054505,373.1262817729227,373.1272107041753,373.1273527585054,373.1273745726141,373.1273779260194,373.1273784416172,373.1273785208943,373.1273785412675,373.1273785616408,373.1273785820141,373.1273786023874,373.1273786227606,373.1273786431339,373.1273786635071,373.1273786838804,373.1273787042537,373.1273787246269,373.1273787450002,373.1273787653734,373.1273787857467,373.12737880612,373.1273788264932,373.1273788468665,373.1273788672397,373.127378887613,373.1287000503027,373.1591351037316,373.5292060060151,378.0518371517218,435.0037723107732,341.0384800473653,368.2202693526104,372.3738343535706,373.0115388679898,373.1095677832011,373.1246399953888,373.1266747733074,373.1266747936806,373.1266748140539,373.1266748344272,373.1266748548005,373.1266748751738,373.126674895547,373.1266749159203,373.1266749362935,373.1266749566668,373.12667497704,373.1266749974133,373.1266750177866,373.1266750381598,373.1266750585331,373.1266750789063,373.1266750992796,373.1266751196529,373.1266751400261,373.1273357411191,373.1425535078494,373.3275918773223,375.58894310016,404.0653585081119
