"time","T[1]","T[2]","T[3]","T[4]","T[5]","T[6]","T[7]","T[9]","T[8]","T[10]","T[11]","T[12]","T[13]","T[14]","T[15]","T[16]","T[17]","T[18]","T[19]","T[20]","T[21]","T[22]","T[23]","T[24]","T[25]","T[26]","T[27]","T[28]","T[29]","T[30]","T[31]","T[32]","T[33]","T[34]","T[35]","T[36]","T[37]","T[38]","T[39]","T[40]","T[41]","T[42]","T[43]","T[44]","T[45]","T[46]","T[47]","T[48]","T[49]","T[50]","T[51]","T[52]","T[53]","T[54]","T[55]","T[56]","T[57]","T[58]","T[59]","T[60]","T[61]","T[62]","T[63]","T[64]","T[65]","T[66]","T[67]","T[68]","T[69]","T[70]","T[71]","T[72]","T[73]","T[74]","T[75]","T[76]","T[77]","T[78]","T[79]","T[80]","T[81]","T[82]","T[83]","T[84]","T[85]","T[86]","T[87]","T[88]","T[89]","T[90]","T[91]","T[92]","T[93]","T[94]","T[95]","T[96]","T[97]","T[98]","T[99]","T[100]"
0.478,356.7250003251644,372.7574915976558,372.7576674336951,372.7576841558071,372.7577001684988,372.7577156206201,372.7577306169611,372.757759531026,372.7577452343697,372.7577735521182,372.7577873334891,372.7578009040736,372.7578142875818,372.7578275036942,372.7578405689308,372.7578534972958,372.7578663007649,372.7578789896589,372.7578915729353,372.7579040584168,372.7579164529756,372.7579287626794,372.7579409929119,372.757953148471,372.7579652336495,372.7579772523035,372.7579892079082,372.7580011036062,372.7580129422477,372.7580247264252,372.7580364585028,372.7580481406422,372.7580597748241,372.7580713628677,372.7580829064473,372.7580944071068,372.7581058662726,372.7581172852647,372.7581286653069,372.7581400075353,372.7581513130067,372.758162582705,372.7581738175477,372.7581850183913,372.7581961860369,372.758207321234,372.7582184246849,372.7582294970484,372.7582405389431,372.7582515509503,372.7582625336171,372.7582734874583,372.7582844129592,372.7582953105775,372.7583061807451,372.7583170238701,372.758327840338,372.7583386305137,372.7583493947421,372.7583601333504,372.7583708466481,372.7583815349289,372.7583921984712,372.7584028375393,372.758413452384,372.7584240432438,372.7584346103448,372.7584451539024,372.7584556741212,372.7584661711957,372.758476645311,372.7584870966435,372.7584975253608,372.7585079316225,372.7585183155807,372.7585286773803,372.7585390171591,372.7585493350487,372.758559631174,372.7585699056544,372.7585801586036,372.7585903901298,372.7586006003361,372.7586107893208,372.7586209571775,372.7586311039952,372.7586412298588,372.7586513348492,372.7586614190432,372.7586714825138,372.7586815253308,372.7586915475603,372.7587015492649,372.7587115305046,372.7587214913358,372.7587314318125,372.7587413519853,372.7587512519028,372.7587611316104,372.7587709911513
0.48,356.7250003251644,372.7574915976558,372.7576674336951,372.7576841558071,372.7577001684988,372.7577156206201,372.7577306169611,372.757759531026,372.7577452343697,372.7577735521182,372.7577873334891,372.7578009040736,372.7578142875818,372.7578275036942,372.7578405689308,372.7578534972958,372.7578663007649,372.7578789896589,372.7578915729353,372.7579040584168,372.7579164529756,372.7579287626794,372.7579409929119,372.757953148471,372.7579652336495,372.7579772523035,372.7579892079082,372.7580011036062,372.7580129422477,372.7580247264252,372.7580364585028,372.7580481406422,372.7580597748241,372.7580713628677,372.7580829064473,372.7580944071068,372.7581058662726,372.7581172852647,372.7581286653069,372.7581400075353,372.7581513130067,372.758162582705,372.7581738175477,372.7581850183913,372.7581961860369,372.758207321234,372.7582184246849,372.7582294970484,372.7582405389431,372.7582515509503,372.7582625336171,372.7582734874583,372.7582844129592,372.7582953105775,372.7583061807451,372.7583170238701,372.758327840338,372.7583386305137,372.7583493947421,372.7583601333504,372.7583708466481,372.7583815349289,372.7583921984712,372.7584028375393,372.758413452384,372.7584240432438,372.7584346103448,372.7584451539024,372.7584556741212,372.7584661711957,372.758476645311,372.7584870966435,372.7584975253608,372.7585079316225,372.7585183155807,372.7585286773803,372.7585390171591,372.7585493350487,372.758559631174,372.7585699056544,372.7585801586036,372.7585903901298,372.7586006003361,372.7586107893208,372.7586209571775,372.7586311039952,372.7586412298588,372.7586513348492,372.7586614190432,372.7586714825138,372.7586815253308,372.7586915475603,372.7587015492649,372.7587115305046,372.7587214913358,372.7587314318125,372.7587413519853,372.7587512519028,372.7587611316104,372.7587709911513
0.482,356.7250003251644,372.7574915976558,372.7576674336951,372.7576841558071,372.7577001684988,372.7577156206201,372.7577306169611,372.757759531026,372.7577452343697,372.7577735521182,372.7577873334891,372.7578009040736,372.7578142875818,372.7578275036942,372.7578405689308,372.7578534972958,372.7578663007649,372.7578789896589,372.7578915729353,372.7579040584168,372.7579164529756,372.7579287626794,372.7579409929119,372.757953148471,372.7579652336495,372.7579772523035,372.7579892079082,372.7580011036062,372.7580129422477,372.7580247264252,372.7580364585028,372.7580481406422,372.7580597748241,372.7580713628677,372.7580829064473,372.7580944071068,372.7581058662726,372.7581172852647,372.7581286653069,372.7581400075353,372.7581513130067,372.758162582705,372.7581738175477,372.7581850183913,372.7581961860369,372.758207321234,372.7582184246849,372.7582294970484,372.7582405389431,372.7582515509503,372.7582625336171,372.7582734874583,372.7582844129592,372.7582953105775,372.7583061807451,372.7583170238701,372.758327840338,372.7583386305137,372.7583493947421,372.7583601333504,372.7583708466481,372.7583815349289,372.7583921984712,372.7584028375393,372.758413452384,372.7584240432438,372.7584346103448,372.7584451539024,372.7584556741212,372.7584661711957,372.758476645311,372.7584870966435,372.7584975253608,372.7585079316225,372.7585183155807,372.7585286773803,372.7585390171591,372.7585493350487,372.758559631174,372.7585699056544,372.7585801586036,372.7585903901298,372.7586006003361,372.7586107893208,372.7586209571775,372.7586311039952,372.7586412298588,372.7586513348492,372.7586614190432,372.7586714825138,372.7586815253308,372.7586915475603,372.7587015492649,372.7587115305046,372.7587214913358,372.7587314318125,372.7587413519853,372.7587512519028,372.7587611316104,372.7587709911513
0.484,356.7250003251644,372.7574915976558,372.7576674336951,372.7576841558071,372.7577001684988,372.7577156206201,372.7577306169611,372.757759531026,372.7577452343697,372.7577735521182,372.7577873334891,372.7578009040736,372.7578142875818,372.7578275036942,372.7578405689308,372.7578534972958,372.7578663007649,372.7578789896589,372.7578915729353,372.7579040584168,372.7579164529756,372.7579287626794,372.7579409929119,372.757953148471,372.7579652336495,372.7579772523035,372.7579892079082,372.7580011036062,372.7580129422477,372.7580247264252,372.7580364585028,372.7580481406422,372.7580597748241,372.7580713628677,372.7580829064473,372.7580944071068,372.7581058662726,372.7581172852647,372.7581286653069,372.7581400075353,372.7581513130067,372.758162582705,372.7581738175477,372.7581850183913,372.7581961860369,372.758207321234,372.7582184246849,372.7582294970484,372.7582405389431,372.7582515509503,372.7582625336171,372.7582734874583,372.7582844129592,372.7582953105775,372.7583061807451,372.7583170238701,372.758327840338,372.7583386305137,372.7583493947421,372.7583601333504,372.7583708466481,372.7583815349289,372.7583921984712,372.7584028375393,372.758413452384,372.7584240432438,372.7584346103448,372.7584451539024,372.7584556741212,372.7584661711957,372.758476645311,372.7584870966435,372.7584975253608,372.7585079316225,372.7585183155807,372.7585286773803,372.7585390171591,372.7585493350487,372.758559631174,372.7585699056544,372.7585801586036,372.7585903901298,372.7586006003361,372.7586107893208,372.7586209571775,372.7586311039952,372.7586412298588,372.7586513348492,372.7586614190432,372.7586714825138,372.7586815253308,372.7586915475603,372.7587015492649,372.7587115305046,372.7587214913358,372.7587314318125,372.7587413519853,372.7587512519028,372.7587611316104,372.7587709911513
0.486,356.7250003251644,372.7574915976558,372.7576674336951,372.7576841558071,372.7577001684988,372.7577156206201,372.7577306169611,372.757759531026,372.7577452343697,372.7577735521182,372.7577873334891,372.7578009040736,372.7578142875818,372.7578275036942,372.7578405689308,372.7578534972958,372.7578663007649,372.7578789896589,372.7578915729353,372.7579040584168,372.7579164529756,372.7579287626794,372.7579409929119,372.757953148471,372.7579652336495,372.7579772523035,372.7579892079082,372.7580011036062,372.7580129422477,372.7580247264252,372.7580364585028,372.7580481406422,372.7580597748241,372.7580713628677,372.7580829064473,372.7580944071068,372.7581058662726,372.7581172852647,372.7581286653069,372.7581400075353,372.7581513130067,372.758162582705,372.7581738175477,372.7581850183913,372.7581961860369,372.758207321234,372.7582184246849,372.7582294970484,372.7582405389431,372.7582515509503,372.7582625336171,372.7582734874583,372.7582844129592,372.7582953105775,372.7583061807451,372.7583170238701,372.758327840338,372.7583386305137,372.7583493947421,372.7583601333504,372.7583708466481,372.7583815349289,372.7583921984712,372.7584028375393,372.758413452384,372.7584240432438,372.7584346103448,372.7584451539024,372.7584556741212,372.7584661711957,372.758476645311,372.7584870966435,372.7584975253608,372.7585079316225,372.7585183155807,372.7585286773803,372.7585390171591,372.7585493350487,372.758559631174,372.7585699056544,372.7585801586036,372.7585903901298,372.7586006003361,372.7586107893208,372.7586209571775,372.7586311039952,372.7586412298588,372.7586513348492,372.7586614190432,372.7586714825138,372.7586815253308,372.7586915475603,372.7587015492649,372.7587115305046,372.7587214913358,372.7587314318125,372.7587413519853,372.7587512519028,372.7587611316104,372.7587709911513
0.488,356.7250003251644,372.7574915976558,372.7576674336951,372.7576841558071,372.7577001684988,372.7577156206201,372.7577306169611,372.757759531026,372.7577452343697,372.7577735521182,372.7577873334891,372.7578009040736,372.7578142875818,372.7578275036942,372.7578405689308,372.7578534972958,372.7578663007649,372.7578789896589,372.7578915729353,372.7579040584168,372.7579164529756,372.7579287626794,372.7579409929119,372.757953148471,372.7579652336495,372.7579772523035,372.7579892079082,372.7580011036062,372.7580129422477,372.7580247264252,372.7580364585028,372.7580481406422,372.7580597748241,372.7580713628677,372.7580829064473,372.7580944071068,372.7581058662726,372.7581172852647,372.7581286653069,372.7581400075353,372.7581513130067,372.758162582705,372.7581738175477,372.7581850183913,372.7581961860369,372.758207321234,372.7582184246849,372.7582294970484,372.7582405389431,372.7582515509503,372.7582625336171,372.7582734874583,372.7582844129592,372.7582953105775,372.7583061807451,372.7583170238701,372.758327840338,372.7583386305137,372.7583493947421,372.7583601333504,372.7583708466481,372.7583815349289,372.7583921984712,372.7584028375393,372.758413452384,372.7584240432438,372.7584346103448,372.7584451539024,372.7584556741212,372.7584661711957,372.758476645311,372.7584870966435,372.7584975253608,372.7585079316225,372.7585183155807,372.7585286773803,372.7585390171591,372.7585493350487,372.758559631174,372.7585699056544,372.7585801586036,372.7585903901298,372.7586006003361,372.7586107893208,372.7586209571775,372.7586311039952,372.7586412298588,372.7586513348492,372.7586614190432,372.7586714825138,372.7586815253308,372.7586915475603,372.7587015492649,372.7587115305046,372.7587214913358,372.7587314318125,372.7587413519853,372.7587512519028,372.7587611316104,372.7587709911513
0.49,356.7250003251644,372.7574915976558,372.7576674336951,372.7576841558071,372.7577001684988,372.7577156206201,372.7577306169611,372.757759531026,372.7577452343697,372.7577735521182,372.7577873334891,372.7578009040736,372.7578142875818,372.7578275036942,372.7578405689308,372.7578534972958,372.7578663007649,372.7578789896589,372.7578915729353,372.7579040584168,372.7579164529756,372.7579287626794,372.7579409929119,372.757953148471,372.7579652336495,372.7579772523035,372.7579892079082,372.7580011036062,372.7580129422477,372.7580247264252,372.7580364585028,372.7580481406422,372.7580597748241,372.7580713628677,372.7580829064473,372.7580944071068,372.7581058662726,372.7581172852647,372.7581286653069,372.7581400075353,372.7581513130067,372.758162582705,372.7581738175477,372.7581850183913,372.7581961860369,372.758207321234,372.7582184246849,372.7582294970484,372.7582405389431,372.7582515509503,372.7582625336171,372.7582734874583,372.7582844129592,372.7582953105775,372.7583061807451,372.7583170238701,372.758327840338,372.7583386305137,372.7583493947421,372.7583601333504,372.7583708466481,372.7583815349289,372.7583921984712,372.7584028375393,372.758413452384,372.7584240432438,372.7584346103448,372.7584451539024,372.7584556741212,372.7584661711957,372.758476645311,372.7584870966435,372.7584975253608,372.7585079316225,372.7585183155807,372.7585286773803,372.7585390171591,372.7585493350487,372.758559631174,372.7585699056544,372.7585801586036,372.7585903901298,372.7586006003361,372.7586107893208,372.7586209571775,372.7586311039952,372.7586412298588,372.7586513348492,372.7586614190432,372.7586714825138,372.7586815253308,372.7586915475603,372.7587015492649,372.7587115305046,372.7587214913358,372.7587314318125,372.7587413519853,372.7587512519028,372.7587611316104,372.7587709911513
0.492,356.7250003251644,372.7574915976558,372.7576674336951,372.7576841558071,372.7577001684988,372.7577156206201,372.7577306169611,372.757759531026,372.7577452343697,372.7577735521182,372.7577873334891,372.7578009040736,372.7578142875818,372.7578275036942,372.7578405689308,372.7578534972958,372.7578663007649,372.7578789896589,372.7578915729353,372.7579040584168,372.7579164529756,372.7579287626794,372.7579409929119,372.757953148471,372.7579652336495,372.7579772523035,372.7579892079082,372.7580011036062,372.7580129422477,372.7580247264252,372.7580364585028,372.7580481406422,372.7580597748241,372.7580713628677,372.7580829064473,372.7580944071068,372.7581058662726,372.7581172852647,372.7581286653069,372.7581400075353,372.7581513130067,372.758162582705,372.7581738175477,372.7581850183913,372.7581961860369,372.758207321234,372.7582184246849,372.7582294970484,372.7582405389431,372.7582515509503,372.7582625336171,372.7582734874583,372.7582844129592,372.7582953105775,372.7583061807451,372.7583170238701,372.758327840338,372.7583386305137,372.7583493947421,372.7583601333504,372.7583708466481,372.7583815349289,372.7583921984712,372.7584028375393,372.758413452384,372.7584240432438,372.7584346103448,372.7584451539024,372.7584556741212,372.7584661711957,372.758476645311,372.7584870966435,372.7584975253608,372.7585079316225,372.7585183155807,372.7585286773803,372.7585390171591,372.7585493350487,372.758559631174,372.7585699056544,372.7585801586036,372.7585903901298,372.7586006003361,372.7586107893208,372.7586209571775,372.7586311039952,372.7586412298588,372.7586513348492,372.7586614190432,372.7586714825138,372.7586815253308,372.7586915475603,372.7587015492649,372.7587115305046,372.7587214913358,372.7587314318125,372.7587413519853,372.7587512519028,372.7587611316104,372.7587709911513
0.494,356.7250003251644,372.7574915976558,372.7576674336951,372.7576841558071,372.7577001684988,372.7577156206201,372.7577306169611,372.757759531026,372.7577452343697,372.7577735521182,372.7577873334891,372.7578009040736,372.7578142875818,372.7578275036942,372.7578405689308,372.7578534972958,372.7578663007649,372.7578789896589,372.7578915729353,372.7579040584168,372.7579164529756,372.7579287626794,372.7579409929119,372.757953148471,372.7579652336495,372.7579772523035,372.7579892079082,372.7580011036062,372.7580129422477,372.7580247264252,372.7580364585028,372.7580481406422,372.7580597748241,372.7580713628677,372.7580829064473,372.7580944071068,372.7581058662726,372.7581172852647,372.7581286653069,372.7581400075353,372.7581513130067,372.758162582705,372.7581738175477,372.7581850183913,372.7581961860369,372.758207321234,372.7582184246849,372.7582294970484,372.7582405389431,372.7582515509503,372.7582625336171,372.7582734874583,372.7582844129592,372.7582953105775,372.7583061807451,372.7583170238701,372.758327840338,372.7583386305137,372.7583493947421,372.7583601333504,372.7583708466481,372.7583815349289,372.7583921984712,372.7584028375393,372.758413452384,372.7584240432438,372.7584346103448,372.7584451539024,372.7584556741212,372.7584661711957,372.758476645311,372.7584870966435,372.7584975253608,372.7585079316225,372.7585183155807,372.7585286773803,372.7585390171591,372.7585493350487,372.758559631174,372.7585699056544,372.7585801586036,372.7585903901298,372.7586006003361,372.7586107893208,372.7586209571775,372.7586311039952,372.7586412298588,372.7586513348492,372.7586614190432,372.7586714825138,372.7586815253308,372.7586915475603,372.7587015492649,372.7587115305046,372.7587214913358,372.7587314318125,372.7587413519853,372.7587512519028,372.7587611316104,372.7587709911513
0.496,356.7250003251644,372.7574915976558,372.7576674336951,372.7576841558071,372.7577001684988,372.7577156206201,372.7577306169611,372.757759531026,372.7577452343697,372.7577735521182,372.7577873334891,372.7578009040736,372.7578142875818,372.7578275036942,372.7578405689308,372.7578534972958,372.7578663007649,372.7578789896589,372.7578915729353,372.7579040584168,372.7579164529756,372.7579287626794,372.7579409929119,372.757953148471,372.7579652336495,372.7579772523035,372.7579892079082,372.7580011036062,372.7580129422477,372.7580247264252,372.7580364585028,372.7580481406422,372.7580597748241,372.7580713628677,372.7580829064473,372.7580944071068,372.7581058662726,372.7581172852647,372.7581286653069,372.7581400075353,372.7581513130067,372.758162582705,372.7581738175477,372.7581850183913,372.7581961860369,372.758207321234,372.7582184246849,372.7582294970484,372.7582405389431,372.7582515509503,372.7582625336171,372.7582734874583,372.7582844129592,372.7582953105775,372.7583061807451,372.7583170238701,372.758327840338,372.7583386305137,372.7583493947421,372.7583601333504,372.7583708466481,372.7583815349289,372.7583921984712,372.7584028375393,372.758413452384,372.7584240432438,372.7584346103448,372.7584451539024,372.7584556741212,372.7584661711957,372.758476645311,372.7584870966435,372.7584975253608,372.7585079316225,372.7585183155807,372.7585286773803,372.7585390171591,372.7585493350487,372.758559631174,372.7585699056544,372.7585801586036,372.7585903901298,372.7586006003361,372.7586107893208,372.7586209571775,372.7586311039952,372.7586412298588,372.7586513348492,372.7586614190432,372.7586714825138,372.7586815253308,372.7586915475603,372.7587015492649,372.7587115305046,372.7587214913358,372.7587314318125,372.7587413519853,372.7587512519028,372.7587611316104,372.7587709911513
0.498,356.7250003251644,372.7574915976558,372.7576674336951,372.7576841558071,372.7577001684988,372.7577156206201,372.7577306169611,372.757759531026,372.7577452343697,372.7577735521182,372.7577873334891,372.7578009040736,372.7578142875818,372.7578275036942,372.7578405689308,372.7578534972958,372.7578663007649,372.7578789896589,372.7578915729353,372.7579040584168,372.7579164529756,372.7579287626794,372.7579409929119,372.757953148471,372.7579652336495,372.7579772523035,372.7579892079082,372.7580011036062,372.7580129422477,372.7580247264252,372.7580364585028,372.7580481406422,372.7580597748241,372.7580713628677,372.7580829064473,372.7580944071068,372.7581058662726,372.7581172852647,372.7581286653069,372.7581400075353,372.7581513130067,372.758162582705,372.7581738175477,372.7581850183913,372.7581961860369,372.758207321234,372.7582184246849,372.7582294970484,372.7582405389431,372.7582515509503,372.7582625336171,372.7582734874583,372.7582844129592,372.7582953105775,372.7583061807451,372.7583170238701,372.758327840338,372.7583386305137,372.7583493947421,372.7583601333504,372.7583708466481,372.7583815349289,372.7583921984712,372.7584028375393,372.758413452384,372.7584240432438,372.7584346103448,372.7584451539024,372.7584556741212,372.7584661711957,372.758476645311,372.7584870966435,372.7584975253608,372.7585079316225,372.7585183155807,372.7585286773803,372.7585390171591,372.7585493350487,372.758559631174,372.7585699056544,372.7585801586036,372.7585903901298,372.7586006003361,372.7586107893208,372.7586209571775,372.7586311039952,372.7586412298588,372.7586513348492,372.7586614190432,372.7586714825138,372.7586815253308,372.7586915475603,372.7587015492649,372.7587115305046,372.7587214913358,372.7587314318125,372.7587413519853,372.7587512519028,372.7587611316104,372.7587709911513
0.5,356.7250003251644,372.7574915976558,372.7576674336951,372.7576841558071,372.7577001684988,372.7577156206201,372.7577306169611,372.757759531026,372.7577452343697,372.7577735521182,372.7577873334891,372.7578009040736,372.7578142875818,372.7578275036942,372.7578405689308,372.7578534972958,372.7578663007649,372.7578789896589,372.7578915729353,372.7579040584168,372.7579164529756,372.7579287626794,372.7579409929119,372.757953148471,372.7579652336495,372.7579772523035,372.7579892079082,372.7580011036062,372.7580129422477,372.7580247264252,372.7580364585028,372.7580481406422,372.7580597748241,372.7580713628677,372.7580829064473,372.7580944071068,372.7581058662726,372.7581172852647,372.7581286653069,372.7581400075353,372.7581513130067,372.758162582705,372.7581738175477,372.7581850183913,372.7581961860369,372.758207321234,372.7582184246849,372.7582294970484,372.7582405389431,372.7582515509503,372.7582625336171,372.7582734874583,372.7582844129592,372.7582953105775,372.7583061807451,372.7583170238701,372.758327840338,372.7583386305137,372.7583493947421,372.7583601333504,372.7583708466481,372.7583815349289,372.7583921984712,372.7584028375393,372.758413452384,372.7584240432438,372.7584346103448,372.7584451539024,372.7584556741212,372.7584661711957,372.758476645311,372.7584870966435,372.7584975253608,372.7585079316225,372.7585183155807,372.7585286773803,372.7585390171591,372.7585493350487,372.758559631174,372.7585699056544,372.7585801586036,372.7585903901298,372.7586006003361,372.7586107893208,372.7586209571775,372.7586311039952,372.7586412298588,372.7586513348492,372.7586614190432,372.7586714825138,372.7586815253308,372.7586915475603,372.7587015492649,372.7587115305046,372.7587214913358,372.7587314318125,372.7587413519853,372.7587512519028,372.7587611316104,372.7587709911513
0.502,356.7250003251644,372.7574915976558,372.7576674336951,372.7576841558071,372.7577001684988,372.7577156206201,372.7577306169611,372.757759531026,372.7577452343697,372.7577735521182,372.7577873334891,372.7578009040736,372.7578142875818,372.7578275036942,372.7578405689308,372.7578534972958,372.7578663007649,372.7578789896589,372.7578915729353,372.7579040584168,372.7579164529756,372.7579287626794,372.7579409929119,372.757953148471,372.7579652336495,372.7579772523035,372.7579892079082,372.7580011036062,372.7580129422477,372.7580247264252,372.7580364585028,372.7580481406422,372.7580597748241,372.7580713628677,372.7580829064473,372.7580944071068,372.7581058662726,372.7581172852647,372.7581286653069,372.7581400075353,372.7581513130067,372.758162582705,372.7581738175477,372.7581850183913,372.7581961860369,372.758207321234,372.7582184246849,372.7582294970484,372.7582405389431,372.7582515509503,372.7582625336171,372.7582734874583,372.7582844129592,372.7582953105775,372.7583061807451,372.7583170238701,372.758327840338,372.7583386305137,372.7583493947421,372.7583601333504,372.7583708466481,372.7583815349289,372.7583921984712,372.7584028375393,372.758413452384,372.7584240432438,372.7584346103448,372.7584451539024,372.7584556741212,372.7584661711957,372.758476645311,372.7584870966435,372.7584975253608,372.7585079316225,372.7585183155807,372.7585286773803,372.7585390171591,372.7585493350487,372.758559631174,372.7585699056544,372.7585801586036,372.7585903901298,372.7586006003361,372.7586107893208,372.7586209571775,372.7586311039952,372.7586412298588,372.7586513348492,372.7586614190432,372.7586714825138,372.7586815253308,372.7586915475603,372.7587015492649,372.7587115305046,372.7587214913358,372.7587314318125,372.7587413519853,372.7587512519028,372.7587611316104,372.7587709911513
0.504,356.7250003251644,372.7574915976558,372.7576674336951,372.7576841558071,372.7577001684988,372.7577156206201,372.7577306169611,372.757759531026,372.7577452343697,372.7577735521182,372.7577873334891,372.7578009040736,372.7578142875818,372.7578275036942,372.7578405689308,372.7578534972958,372.7578663007649,372.7578789896589,372.7578915729353,372.7579040584168,372.7579164529756,372.7579287626794,372.7579409929119,372.757953148471,372.7579652336495,372.7579772523035,372.7579892079082,372.7580011036062,372.7580129422477,372.7580247264252,372.7580364585028,372.7580481406422,372.7580597748241,372.7580713628677,372.7580829064473,372.7580944071068,372.7581058662726,372.7581172852647,372.7581286653069,372.7581400075353,372.7581513130067,372.758162582705,372.7581738175477,372.7581850183913,372.7581961860369,372.758207321234,372.7582184246849,372.7582294970484,372.7582405389431,372.7582515509503,372.7582625336171,372.7582734874583,372.7582844129592,372.7582953105775,372.7583061807451,372.7583170238701,372.758327840338,372.7583386305137,372.7583493947421,372.7583601333504,372.7583708466481,372.7583815349289,372.7583921984712,372.7584028375393,372.758413452384,372.7584240432438,372.7584346103448,372.7584451539024,372.7584556741212,372.7584661711957,372.758476645311,372.7584870966435,372.7584975253608,372.7585079316225,372.7585183155807,372.7585286773803,372.7585390171591,372.7585493350487,372.758559631174,372.7585699056544,372.7585801586036,372.7585903901298,372.7586006003361,372.7586107893208,372.7586209571775,372.7586311039952,372.7586412298588,372.7586513348492,372.7586614190432,372.7586714825138,372.7586815253308,372.7586915475603,372.7587015492649,372.7587115305046,372.7587214913358,372.7587314318125,372.7587413519853,372.7587512519028,372.7587611316104,372.7587709911513
0.506,356.7250003251644,372.7574915976558,372.7576674336951,372.7576841558071,372.7577001684988,372.7577156206201,372.7577306169611,372.757759531026,372.7577452343697,372.7577735521182,372.7577873334891,372.7578009040736,372.7578142875818,372.7578275036942,372.7578405689308,372.7578534972958,372.7578663007649,372.7578789896589,372.7578915729353,372.7579040584168,372.7579164529756,372.7579287626794,372.7579409929119,372.757953148471,372.7579652336495,372.7579772523035,372.7579892079082,372.7580011036062,372.7580129422477,372.7580247264252,372.7580364585028,372.7580481406422,372.7580597748241,372.7580713628677,372.7580829064473,372.7580944071068,372.7581058662726,372.7581172852647,372.7581286653069,372.7581400075353,372.7581513130067,372.758162582705,372.7581738175477,372.7581850183913,372.7581961860369,372.758207321234,372.7582184246849,372.7582294970484,372.7582405389431,372.7582515509503,372.7582625336171,372.7582734874583,372.7582844129592,372.7582953105775,372.7583061807451,372.7583170238701,372.758327840338,372.7583386305137,372.7583493947421,372.7583601333504,372.7583708466481,372.7583815349289,372.7583921984712,372.7584028375393,372.758413452384,372.7584240432438,372.7584346103448,372.7584451539024,372.7584556741212,372.7584661711957,372.758476645311,372.7584870966435,372.7584975253608,372.7585079316225,372.7585183155807,372.7585286773803,372.7585390171591,372.7585493350487,372.758559631174,372.7585699056544,372.7585801586036,372.7585903901298,372.7586006003361,372.7586107893208,372.7586209571775,372.7586311039952,372.7586412298588,372.7586513348492,372.7586614190432,372.7586714825138,372.7586815253308,372.7586915475603,372.7587015492649,372.7587115305046,372.7587214913358,372.7587314318125,372.7587413519853,372.7587512519028,372.7587611316104,372.7587709911513
0.508,356.7250003251644,372.7574915976558,372.7576674336951,372.7576841558071,372.7577001684988,372.7577156206201,372.7577306169611,372.757759531026,372.7577452343697,372.7577735521182,372.7577873334891,372.7578009040736,372.7578142875818,372.7578275036942,372.7578405689308,372.7578534972958,372.7578663007649,372.7578789896589,372.7578915729353,372.7579040584168,372.7579164529756,372.7579287626794,372.7579409929119,372.757953148471,372.7579652336495,372.7579772523035,372.7579892079082,372.7580011036062,372.7580129422477,372.7580247264252,372.7580364585028,372.7580481406422,372.7580597748241,372.7580713628677,372.7580829064473,372.7580944071068,372.7581058662726,372.7581172852647,372.7581286653069,372.7581400075353,372.7581513130067,372.758162582705,372.7581738175477,372.7581850183913,372.7581961860369,372.758207321234,372.7582184246849,372.7582294970484,372.7582405389431,372.7582515509503,372.7582625336171,372.7582734874583,372.7582844129592,372.7582953105775,372.7583061807451,372.7583170238701,372.758327840338,372.7583386305137,372.7583493947421,372.7583601333504,372.7583708466481,372.7583815349289,372.7583921984712,372.7584028375393,372.758413452384,372.7584240432438,372.7584346103448,372.7584451539024,372.7584556741212,372.7584661711957,372.758476645311,372.7584870966435,372.7584975253608,372.7585079316225,372.7585183155807,372.7585286773803,372.7585390171591,372.7585493350487,372.758559631174,372.7585699056544,372.7585801586036,372.7585903901298,372.7586006003361,372.7586107893208,372.7586209571775,372.7586311039952,372.7586412298588,372.7586513348492,372.7586614190432,372.7586714825138,372.7586815253308,372.7586915475603,372.7587015492649,372.7587115305046,372.7587214913358,372.7587314318125,372.7587413519853,372.7587512519028,372.7587611316104,372.7587709911513
